size	stride	elapsed(s)	cycles
4096	1	0.911538	911
4096	2	0.835538	835
4096	4	0.840120	840
4096	8	0.819170	819
4096	16	0.839606	839
4096	32	0.841794	842
4096	64	0.782035	782
4096	128	0.761748	762
4096	256	0.704175	704
4096	512	0.660314	660
4096	1024	0.658533	659
4096	2048	0.696966	697
8192	1	0.1790935	1791
8192	2	0.1669260	1670
8192	4	0.1672323	1672
8192	8	0.1677891	1677
8192	16	0.1676064	1676
8192	32	0.1702444	1702
8192	64	0.1675144	1675
8192	128	0.1593687	1593
8192	256	0.1488491	1488
8192	512	0.1386281	1387
8192	1024	0.1349268	1349
8192	2048	0.1455970	1456
8192	4096	0.1500854	1501
16384	1	0.3421973	3422
16384	2	0.3374772	3375
16384	4	0.3343130	3343
16384	8	0.3368618	3369
16384	16	0.3329316	3329
16384	32	0.3348361	3348
16384	64	0.3329701	3329
16384	128	0.3410933	3411
16384	256	0.3114108	3114
16384	512	0.2976664	2977
16384	1024	0.2754402	2755
16384	2048	0.2879176	2879
16384	4096	0.3139937	3140
16384	8192	0.3033337	3034
32768	1	0.6763382	6763
32768	2	0.6680058	6680
32768	4	0.6685947	6686
32768	8	0.6672877	6672
32768	16	0.6707185	6707
32768	32	0.6650577	6651
32768	64	0.6633197	6634
32768	128	0.6655748	6656
32768	256	0.6812863	6812
32768	512	0.6202869	6203
32768	1024	0.5887366	5887
32768	2048	0.5962491	5962
32768	4096	0.6279363	6279
32768	8192	0.6293552	6293
32768	16384	0.6032335	6033
65536	1	0.13418859	13419
65536	2	0.13294611	13295
65536	4	0.13288913	13289
65536	8	0.13160631	13160
65536	16	0.13183957	13184
65536	32	0.13230417	13231
65536	64	0.14165402	14166
65536	128	0.14146851	14147
65536	256	0.14137587	14137
65536	512	0.14234016	14234
65536	1024	0.13286077	13286
65536	2048	0.29847108	29847
65536	4096	0.49182166	49182
65536	8192	0.12553653	12554
65536	16384	0.12587394	12588
65536	32768	0.12038181	12038
131072	1	0.26787130	26787
131072	2	0.26643049	26643
131072	4	0.26528997	26529
131072	8	0.26405017	26405
131072	16	0.26444297	26444
131072	32	0.26548175	26548
131072	64	0.28330222	28330
131072	128	0.28193323	28193
131072	256	0.28096595	28097
131072	512	0.28311378	28311
131072	1024	0.28127669	28128
131072	2048	0.64990893	64991
131072	4096	0.110496936	110497
131072	8192	0.94893492	94893
131072	16384	0.25519766	25519
131072	32768	0.25178581	25178
131072	65536	0.24070775	24070
262144	1	0.53516838	53517
262144	2	0.53631059	53631
262144	4	0.53202905	53203
262144	8	0.52957228	52957
262144	16	0.53066368	53066
262144	32	0.53130063	53130
262144	64	0.56443275	56443
262144	128	0.58783192	58783
262144	256	0.64812735	64813
262144	512	0.65163646	65163
262144	1024	0.67387548	67388
262144	2048	0.146558765	146558
262144	4096	0.236949643	236949
262144	8192	0.236213498	236213
262144	16384	0.197870764	197871
262144	32768	0.50346853	50347
262144	65536	0.50345156	50345
262144	131072	0.48150959	48150
524288	1	0.107231191	107231
524288	2	0.106744396	106744
524288	4	0.106512983	106513
524288	8	0.105975714	105976
524288	16	0.106420236	106420
524288	32	0.106539222	106539
524288	64	0.113105139	113105
524288	128	0.128367766	128367
524288	256	0.155380582	155381
524288	512	0.160266469	160267
524288	1024	0.163326472	163326
524288	2048	0.149799779	149799
524288	4096	0.461032184	461032
524288	8192	0.474511613	474512
524288	16384	0.450519417	450519
524288	32768	0.264202604	264203
524288	65536	0.108472040	108472
524288	131072	0.101119800	101119
524288	262144	0.96172277	96172
1048576	1	0.214179220	214179
1048576	2	0.213889164	213889
1048576	4	0.212697795	212697
1048576	8	0.211918706	211919
1048576	16	0.212340779	212341
1048576	32	0.213257702	213258
1048576	64	0.226908046	226908
1048576	128	0.262387411	262387
1048576	256	0.324577361	324578
1048576	512	0.340306056	340306
1048576	1024	0.347132946	347133
1048576	2048	0.290318630	290319
1048576	4096	0.960090623	960091
1048576	8192	0.984116879	984116
1048576	16384	0.993297739	993298
1048576	32768	0.970970388	970971
1048576	65536	0.511525477	511525
1048576	131072	0.217236975	217237
1048576	262144	0.201508033	201508
1048576	524288	0.192687346	192688
2097152	1	0.428180716	428181
2097152	2	0.427108175	427108
2097152	4	0.425076995	425077
2097152	8	0.423698729	423699
2097152	16	0.424582717	424582
2097152	32	0.428244662	428245
2097152	64	0.453321145	453322
2097152	128	0.523691383	523692
2097152	256	0.650379175	650379
2097152	512	0.682781933	682781
2097152	1024	0.696290297	696290
2097152	2048	0.578224260	578225
2097152	4096	1.966096829	1966096
2097152	8192	1.972063361	1972064
2097152	16384	1.929102100	1929102
2097152	32768	2.41722988	2041722
2097152	65536	1.754147741	1754147
2097152	131072	1.8422669	1008423
2097152	262144	0.433845604	433846
2097152	524288	0.403566794	403567
2097152	1048576	0.384949313	384950
4194304	1	0.856795115	856795
4194304	2	0.853882277	853882
4194304	4	0.851219545	851220
4194304	8	0.848341633	848342
4194304	16	0.853562617	853562
4194304	32	0.864326164	864326
4194304	64	0.939667537	939667
4194304	128	1.117080974	1117081
4194304	256	1.388129478	1388129
4194304	512	1.501382639	1501383
4194304	1024	1.572745617	1572746
4194304	2048	1.302491322	1302491
4194304	4096	3.893743798	3893744
4194304	8192	3.970668348	3970669
4194304	16384	3.889822390	3889823
4194304	32768	3.945900490	3945900
4194304	65536	3.725274000	3725274
4194304	131072	3.489810849	3489811
4194304	262144	2.47766724	2047766
4194304	524288	0.867859226	867859
4194304	1048576	0.806502021	806502
4194304	2097152	0.769697970	769698
